Name,Last Event Time ,Creation Date,Status,08-Dec,09-Dec,10-Dec,11-Dec,12-Dec,13-Dec,14-Dec
A,"24 Nov 2021, 05:00","11 Sep 2021, 02:25",Active,Active,Active,Active,Active,Active,Active,Active
B,"09 Dec 2021, 05:21","09 Dec 2021, 05:21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
C,"15 Nov 2021, 09:00","13 Nov 2021, 17:35",Standby,Standby,Standby,Standby,Standby,Standby,Standby,Standby
D,"07 Nov 2021, 03:37","07 Nov 2021, 03:37",Inactive,Inactive,Active,Standby,Standby,Active,Inactive,Inactive
E,"08 Dec 2021, 07:23","04 Dec 2021, 16:43",Standby,Standby,Standby,Active,Active,Active,Standby,Inactive
F,"13 Dec 2021, 14:00","28 Nov 2021, 01:16",Active,Active,Standby,Active,Inactive,Active,Inactive,Active
G,"27 Nov 2021, 10:03","27 Nov 2021, 10:03",Inactive,Inactive,Inactive,Inactive,Inactive,Standby,Standby,Active
H,"21 Oct 2021, 11:42","06 Aug 2021, 12:39",Active,Active,Standby,Standby,Standby,Inactive,Active,Active
I,"11 Nov 2021, 08:09","11 Nov 2021, 08:09",Inactive,Inactive,Inactive,Active,Standby,Inactive,Standby,Standby
J,"26 Oct 2021, 06:24","12 Oct 2021, 06:29",Standby,Standby,Standby,Standby,Standby,Active,Inactive,Active
a,"24 Nov 2021, 05:00","11 Sep 2021, 02:25",Active,Inactive,Active,Inactive,Active,Standby,Active,Active
b,"09 Dec 2021, 05:21","09 Dec 2021, 05:21",Inactive,Inactive,Standby,Inactive,Inactive,Standby,Inactive,Inactive
c,"15 Nov 2021, 09:00","13 Nov 2021, 17:35",Standby,Standby,Standby,Standby,Standby,Standby,Standby,Standby
d,"07 Nov 2021, 03:37","07 Nov 2021, 03:37",Inactive,Inactive,Standby,Standby,Standby,Active,Inactive,Inactive
e,"08 Dec 2021, 07:23","04 Dec 2021, 16:43",Standby,Standby,Standby,Active,Active,Active,Standby,Inactive
f,"13 Dec 2021, 14:00","28 Nov 2021, 01:16",Active,Active,Standby,Active,Inactive,Standby,Inactive,Active
g,"27 Nov 2021, 10:03","27 Nov 2021, 10:03",Inactive,Inactive,Standby,Inactive,Inactive,Standby,Standby,Active
h,"21 Oct 2021, 11:42","06 Aug 2021, 12:39",Active,Active,Standby,Standby,Standby,Inactive,Active,Inactive
i,"11 Nov 2021, 08:09","11 Nov 2021, 08:09",Inactive,Inactive,Inactive,Standby,Standby,Inactive,Standby,Standby
j,"26 Oct 2021, 06:24","12 Oct 2021, 06:29",Standby,Standby,Standby,Standby,Standby,Active,Inactive,Active
